Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
William Karlsson,28,C,VGK,14.76,1.98,1.86,14.76,1.98,1.86,18.61,17,23,40,9,33,33,13,387,388,31,48,119,447,425,121,,174
Jakub Voracek,31,RW,PHI,13.92,2.95,0,13.92,2.95,0,16.88,11,33,44,15,14,17,24,6,11,32,21,118,436,433,111,,173.4
Anders Lee,30,LW,NYI,15.4,2.27,0,15.4,2.27,0,17.67,21,15,36,8,77,37,40,55,69,29,18,145,473,486,95,,172.8
Brayden Schenn,29,"C,LW,RW",STL,15.19,2.76,0,15.19,2.76,0,17.94,16,26,42,13,93,19,34,290,298,29,26,115,419,432,115,,172.6
Oliver Bjorkstrand,25,"LW,RW",CBJ,14.81,2.31,0,14.81,2.31,0,17.11,19,18,37,6,46,24,12,5,11,25,31,160,476,489,92,,171.6
Torey Krug,29,D,BOS,16.41,3.63,0,16.41,3.63,0,20.04,6,34,40,22,41,47,30,0,0,39,24,130,478,534,82,,170.8
Nazem Kadri,30,C,COL,13.22,3.42,0,13.22,3.42,0,16.63,20,19,39,15,63,12,76,393,309,33,25,144,432,410,128,,170.6
T.J. Oshie,34,RW,WSH,14.16,3.41,0,14.16,3.41,0,17.58,18,20,38,10,80,44,26,84,90,33,34,104,412,410,128,,170.4
Oscar Klefbom,27,D,EDM,19.1,3.47,2.47,19.1,3.47,2.47,25.04,4,24,28,14,41,130,19,0,0,43,35,151,598,654,55,,170.2
Quinn Hughes,21,D,VAN,18.43,3.73,0,18.43,3.73,0,22.16,5,36,41,20,19,46,19,0,0,43,29,118,457,513,85,,170
Phil Kessel,33,RW,ARI,13.72,3.08,0,13.72,3.08,0,16.8,15,26,41,16,10,14,19,2,5,38,16,131,420,417,124,,169.8
Evgenii Dadonov,31,"LW,RW",FLA,13.58,3.26,0,13.58,3.26,0,16.85,18,21,39,12,20,21,8,1,1,32,25,131,421,433,111,,169.6
Brock Nelson,29,"C,LW",NYI,14.87,2.03,1.39,14.87,2.03,1.39,18.3,17,20,37,6,38,40,29,439,432,37,25,126,434,446,109,,169.2
Victor Olofsson,25,"LW,RW",BUF,15,3.36,0,15,3.36,0,18.36,17,23,40,16,13,17,7,2,2,28,12,127,410,423,122,,169.2
Reilly Smith,29,RW,VGK,13.89,1.94,1.85,13.89,1.94,1.85,17.68,17,22,39,7,37,23,16,2,6,35,46,130,421,418,123,,169.2
Shea Weber,35,D,MON,18.22,2.03,2.92,18.22,2.03,2.92,23.16,10,20,30,6,112,102,28,0,0,46,30,142,537,593,69,,169.2
Zach Hyman,28,"C,LW",TOR,15.67,1.05,2.06,15.67,1.05,2.06,18.78,20,18,38,5,67,29,28,76,95,20,29,117,402,415,126,,169
Cam Atkinson,31,RW,CBJ,13.9,2.22,1.53,13.9,2.22,1.53,17.65,19,16,35,8,21,24,10,28,38,24,32,177,484,481,99,,169
Matt Duchene,30,"C,RW",NSH,14.15,2.6,0,14.15,2.6,0,16.75,16,24,40,10,30,22,17,376,294,32,28,115,391,388,132,,167.8
Jaden Schwartz,28,LW,STL,14.98,2.74,0,14.98,2.74,0,17.72,16,23,39,9,45,21,15,12,14,21,39,132,414,427,119,,167.8
Rickard Rakell,27,"C,LW,RW",ANA,15.01,2.37,0,15.01,2.37,0,17.38,17,20,37,9,70,24,9,22,20,40,23,150,440,453,105,,167.6
Max Domi,25,"C,LW",CBJ,14.79,2.41,0,14.79,2.41,0,17.2,14,26,40,8,28,16,39,263,302,47,32,135,414,427,119,,167.4
Zach Parise,36,LW,MIN,13.29,2.67,0.96,13.29,2.67,0.96,16.93,20,15,35,10,26,38,12,22,23,19,16,133,420,433,111,,166.8
Mikael Granlund,28,"LW,RW",NSH,14.47,2.44,1.26,14.47,2.44,1.26,18.16,14,23,37,11,34,42,20,72,76,28,24,123,419,432,115,,166.4
Joe Pavelski,36,"C,RW",DAL,13.43,2.57,0.83,13.43,2.57,0.83,16.84,17,19,36,12,50,42,25,300,262,27,30,112,383,381,136,,164.2
Tyler Bertuzzi,25,"LW,RW",DET,15.84,2.98,0,15.84,2.98,0,18.83,16,21,37,7,61,32,33,5,5,37,19,117,375,388,132,,163.2
Patric Hornqvist,34,RW,PIT,12.35,2.91,0,12.35,2.91,0,15.26,20,12,32,10,110,39,33,5,5,11,15,157,431,428,118,,163
Jordan Eberle,30,"C,RW",NYI,14.56,2.54,0,14.56,2.54,0,17.1,15,22,37,10,30,30,13,4,8,32,30,125,385,382,135,,163
Viktor Arvidsson,27,"LW,RW",NSH,13.32,2.56,1.36,13.32,2.56,1.36,17.24,19,15,34,6,21,26,28,8,10,26,22,152,404,417,124,,161.8
Dylan Strome,23,"C,RW",CHI,13.51,2.88,0,13.51,2.88,0,16.39,14,24,38,9,18,31,16,280,317,23,31,106,352,349,151,,161.6
Tomas Tatar,30,"LW,RW",MON,13.84,2.08,0,13.84,2.08,0,15.92,15,23,38,7,56,19,29,6,14,26,28,125,364,377,138,,161.6
Zach Werenski,23,D,CBJ,19.62,2.7,1.96,19.62,2.7,1.96,24.28,11,21,32,11,38,60,12,0,0,39,31,152,453,509,86,,161.4
Anthony Cirelli,23,C,TB,14.46,1.09,2.9,14.46,1.09,2.9,18.46,15,22,37,5,70,36,28,382,406,18,41,104,350,328,160,,161.2
Tom Wilson,26,RW,WSH,14.33,1.76,2.15,14.33,1.76,2.15,18.24,17,17,34,6,203,45,86,19,29,35,26,121,380,377,138,,161.2
Ryan Strome,27,"C,RW",NYR,14.14,2.57,2.01,14.14,2.57,2.01,18.72,14,24,38,10,38,23,44,338,386,45,27,117,352,349,151,,160.6
Tyson Barrie,29,D,EDM,18.72,2.89,0,18.72,2.89,0,21.61,6,28,34,12,35,62,16,0,0,35,27,139,441,497,90,,160.6
Rasmus Dahlin,20,D,BUF,16.96,3.38,0,16.96,3.38,0,20.34,5,33,38,18,71,50,32,0,0,35,25,107,383,439,110,,160.4
Dominik Kubalik,25,"LW,RW",CHI,12.35,2,0,12.35,2,0,14.35,21,15,36,7,65,14,14,6,11,21,18,126,337,350,150,,159.8
Eric Staal,36,C,MIN,13.94,2.59,0,13.94,2.59,0,16.53,17,20,37,10,21,20,26,395,385,31,24,117,336,313,167,,159.4
Clayton Keller,22,"LW,RW",ARI,14.07,3.1,0,14.07,3.1,0,17.17,14,23,37,13,13,13,21,14,20,28,28,146,375,388,132,,159.4
Vincent Trocheck,27,C,CAR,14.41,2,1.82,14.41,2,1.82,18.23,12,22,34,8,94,38,41,448,403,53,47,143,391,369,145,,157.8
Jake DeBrusk,24,"LW,RW",BOS,13.55,2.67,0,13.55,2.67,0,16.22,18,17,35,10,38,16,14,9,17,20,26,140,349,362,148,,157.4
Kevin Fiala,24,"LW,RW",MIN,13.1,2.44,0,13.1,2.44,0,15.54,15,21,36,10,21,16,35,2,5,39,28,140,355,368,147,,157.4
Phillip Danault,27,C,MON,14.68,1.39,2.65,14.68,1.39,2.65,18.72,11,26,37,2,83,35,31,538,466,35,33,105,331,308,170,,157
John Klingberg,28,D,DAL,19.38,2.57,0,19.38,2.57,0,21.95,5,29,34,14,29,65,20,0,0,42,28,120,396,452,106,,157
Shea Theodore,25,D,VGK,18.84,3.04,0,18.84,3.04,0,21.88,8,23,31,11,24,59,16,0,0,38,31,157,430,486,95,,156
Jakub Vrana,24,LW,WSH,13.03,1.89,0,13.03,1.89,0,14.92,17,18,35,7,25,15,17,6,5,34,25,138,336,348,153,,155.6
Ryan Pulock,26,D,NYI,19.06,1.74,1.66,19.06,1.74,1.66,22.47,7,19,26,7,99,108,14,0,0,42,29,130,435,491,91,,154.2
Alexander Edler,34,D,VAN,17.86,1.41,2.86,17.86,1.41,2.86,22.12,4,20,24,6,110,141,58,0,0,39,28,108,444,500,87,,154
Jeff Skinner,28,"C,LW",BUF,14.1,2.49,0,14.1,2.49,0,16.58,19,13,32,7,23,13,20,43,57,28,35,168,361,374,141,,153.8
Pavel Buchnevich,25,RW,NYR,14.41,2.21,0,14.41,2.21,0,16.63,14,22,36,9,57,21,21,6,18,45,30,117,306,303,172,,153.8
James van Riemsdyk,31,LW,PHI,12.23,2.49,0,12.23,2.49,0,14.72,20,14,34,9,22,14,10,5,9,15,16,130,304,317,165,,153.6
Justin Williams,39,RW,CAR,11.42,2.4,0,11.42,2.4,0,13.82,17,16,33,10,48,20,28,22,33,38,17,138,315,312,168,,151.6
David Krejci,34,C,BOS,14.84,1.79,0,14.84,1.79,0,16.62,11,27,38,9,28,25,17,350,344,30,28,82,251,228,206,,151.4
Miro Heiskanen,21,D,DAL,19.92,2.23,2.09,19.92,2.23,2.09,24.24,8,22,30,7,32,66,12,0,0,45,33,135,377,433,111,,151.4
Kevin Hayes,28,C,PHI,13.91,1.64,2.03,13.91,1.64,2.03,17.58,16,18,34,7,55,18,22,350,349,35,38,130,301,279,182,,151.2
Dustin Brown,36,RW,LA,15.09,2.33,1.75,15.09,2.33,1.75,19.17,16,17,33,6,124,18,26,5,12,35,24,144,320,317,165,,151
Ivan Provorov,24,D,PHI,19.46,2.78,2.96,19.46,2.78,2.96,25.19,8,18,26,7,79,98,19,0,0,44,31,127,395,451,107,,150.6
Jakob Silfverberg,30,RW,ANA,13.33,2.2,1.71,13.33,2.2,1.71,17.24,15,17,32,7,26,35,14,9,26,26,30,127,312,309,169,,150.4
Tony DeAngelo,25,D,NYR,16.44,2.77,0,16.44,2.77,0,19.21,5,27,32,16,46,61,37,0,0,37,25,122,348,404,131,,149.8
Neal Pionk,25,D,WPG,19.19,2.62,1.56,19.19,2.62,1.56,23.37,5,26,31,16,119,68,29,0,0,45,32,123,357,413,127,,149.8
Anthony Duclair,25,"LW,RW",OTT,12.6,2.47,1.04,12.6,2.47,1.04,16.11,17,14,31,7,45,31,16,3,5,32,19,136,311,324,162,,149.6
Jason Zucker,29,"LW,RW",PIT,13.79,2.11,0,13.79,2.11,0,15.9,17,16,33,8,49,23,23,7,20,23,29,121,280,293,175,,149.4
Ondrej Kase,25,RW,BOS,13.94,1.86,0,13.94,1.86,0,15.8,15,17,32,5,18,19,12,8,24,32,34,152,321,318,164,,149
Kevin Labanc,25,"LW,RW",SJ,13.3,2.45,0,13.3,2.45,0,15.76,12,23,35,12,35,17,29,3,9,29,23,125,285,297,173,,148.8
Filip Zadina,21,"LW,RW",DET,13.1,2.78,0,13.1,2.78,0,15.88,16,17,33,14,22,21,6,4,1,37,25,125,279,292,177,,148.4
Jacob Trouba,26,D,NYR,18.38,1.79,2.65,18.38,1.79,2.65,22.81,5,20,25,7,114,107,46,0,0,41,33,127,395,451,107,,148.2
Matt Dumba,26,D,MIN,18.81,2.67,1.51,18.81,2.67,1.51,22.98,10,17,27,11,87,74,36,0,0,39,31,134,354,410,128,,147.4
Adam Fox,22,D,NYR,17.1,2.03,0,17.1,2.03,0,19.13,6,24,30,11,29,74,24,0,0,36,27,106,318,374,141,,146.8
Tyler Toffoli,28,"LW,RW",MON,13.5,2.09,1.08,13.5,2.09,1.08,16.67,16,15,31,6,37,13,17,6,10,26,27,161,309,321,163,,146.4
Drew Doughty,31,D,LA,20.16,3,2.21,20.16,3,2.21,25.37,5,25,30,13,92,73,31,0,0,48,30,109,318,374,141,,146
Ryan Johansen,28,C,NSH,13.5,2.8,1.11,13.5,2.8,1.11,17.41,10,26,36,10,43,24,36,463,404,27,29,91,228,206,222,,145.8
Ryan Suter,36,D,MIN,19.15,2.78,2.35,19.15,2.78,2.35,24.29,4,27,31,11,43,73,15,0,0,37,29,97,300,356,149,,145.6
Darnell Nurse,25,D,EDM,20.14,1.19,2.16,20.14,1.19,2.16,23.49,5,19,24,4,129,105,45,0,0,42,31,130,376,432,115,,145
Nick Suzuki,21,"C,RW",MON,14,2.4,0,14,2.4,0,16.39,12,21,33,10,51,26,6,248,285,29,24,115,252,249,195,,144.4
Josh Bailey,31,"LW,RW",NYI,13.55,1.82,1.42,13.55,1.82,1.42,16.79,10,25,35,8,14,33,13,83,91,44,31,81,215,227,209,,144.4
Andreas Athanasiou,26,"C,LW,RW",EDM,13.96,2.13,0,13.96,2.13,0,16.09,15,16,31,6,29,22,30,69,93,32,19,138,275,287,180,,144.4
Keith Yandle,34,D,FLA,15.93,3.45,0,15.93,3.45,0,19.38,3,31,34,18,20,45,18,0,0,35,26,107,278,334,155,,144.4
